state,total,deviation,zscore,is_anomaly
100000,1,-99.9904671115348,-0.479248381191564,False
Andaman & Nicobar Islands,538,-94.87130600571973,-0.47843298096645903,False
Andaman and Nicobar Islands,2791,-73.39370829361297,-0.47501194426783433,False
Andhra Pradesh,911156,8585.948522402288,0.9042823303643229,False
Arunachal Pradesh,21214,102.23069590085797,-0.44703779464565796,False
Assam,523716,4892.526215443279,0.3159794193500467,False
BALANAGAR,1,-99.9904671115348,-0.479248381191564,False
Bihar,2332101,22131.658722592947,3.0618966187475065,True
Chandigarh,18518,76.5300285986654,-0.45113149856908996,False
Chhatisgarh,2,-99.9809342230696,-0.47924686275539063,False
Chhattisgarh,673858,6323.813155386082,0.5439604632936391,False
Dadra & Nagar Haveli,123,-98.82745471877979,-0.47906313197841166,False
Dadra and Nagar Haveli,3143,-70.03813155386082,-0.4744774547348046,False
Dadra and Nagar Haveli and Daman and Diu,2041,-80.54337464251668,-0.4761507713978692,False
Daman & Diu,334,-96.81601525262154,-0.47874274194582855,False
Daman and Diu,826,-92.1258341277407,-0.47799567134852566,False
Darbhanga,1,-99.9904671115348,-0.479248381191564,False
Delhi,249309,2276.6348903717826,-0.10069009567858868,False
Goa,19785,88.60819828408007,-0.44920763993741775,False
Gujarat,716082,6726.329837940896,0.6080749122784285,False
Haryana,324999,2998.1792183031457,0.01424033828452965,False
Himachal Pradesh,79595,658.7702573879886,-0.35838997240757087,False
Jaipur,1,-99.9904671115348,-0.479248381191564,False
Jammu & Kashmir,248,-97.63584366062918,-0.4788733274567392,False
Jammu and Kashmir,149845,1328.4556720686369,-0.25171983122763875,False
Jharkhand,609275,5708.15061963775,0.44589529990825044,False
Karnataka,706127,6631.429933269781,0.5929588801724324,False
Kerala,425865,3959.723546234509,0.16739892134865825,False
Ladakh,2517,-76.00571973307912,-0.4754279957793404,False
Lakshadweep,630,-93.99428026692088,-0.4782932848385081,False
Madanapalle,1,-99.9904671115348,-0.479248381191564,False
Madhya Pradesh,948495,8941.897044804575,0.960979218642152,False
Maharashtra,2253831,21385.519542421356,2.9430486194570684,True
Manipur,114362,990.2001906577693,-0.3055985019676748,False
Meghalaya,35684,240.1715919923737,-0.425066023216852,False
Mizoram,13786,31.420400381315538,-0.4583167385415232,False
Nagaland,18817,79.38036224976169,-0.4506774861532494,False
Nagpur,1,-99.9904671115348,-0.479248381191564,False
ODISHA,23,-99.78074356530028,-0.47921497559574966,False
Odisha,497292,4640.629170638704,0.2758562619046584,False
Orissa,15423,47.025738798856054,-0.4558310585257005,False
Pondicherry,4399,-58.06482364156339,-0.4725702989010396,False
Puducherry,13249,26.30123927550048,-0.45913213876662823,False
Punjab,311717,2871.563393708294,-0.005927530970301076,False
Puttenahalli,1,-99.9904671115348,-0.479248381191564,False
Raja Annamalai Puram,1,-99.9904671115348,-0.479248381191564,False
Rajasthan,874104,8232.735938989514,0.848021233268254,False
Sikkim,10490,0.0,-0.4633215041689831,False
Tamil Nadu,1112841,10508.58913250715,1.2105281299924313,False
Telangana,833725,7847.807435653003,0.7867082990233503,False
Tripura,70567,572.7073403241181,-0.3720984141808439,False
Uttar Pradesh,3615013,34361.515729265964,5.009916606810553,True
Uttarakhand,170415,1524.5471877979028,-0.22048559914121593,False
Uttaranchal,2,-99.9809342230696,-0.47924686275539063,False
WEST BENGAL,30,-99.71401334604386,-0.479204346542536,False
WESTBENGAL,24,-99.77121067683508,-0.47921345715957625,False
West  Bengal,56,-99.46615824594852,-0.4791648672020281,False
West Bangal,83,-99.208770257388,-0.47912386942534685,False
West Bengal,1826133,17308.322211630126,2.2936165049748674,True
West Bengli,2,-99.9809342230696,-0.47924686275539063,False
West bengal,36,-99.65681601525263,-0.47919523592549573,False
Westbengal,48,-99.54242135367016,-0.47917701469141516,False
andhra pradesh,36,-99.65681601525263,-0.47919523592549573,False
odisha,10,-99.90467111534795,-0.4792347152660036,False
west Bengal,7,-99.93326978074356,-0.47923927057452376,False
