date,state,district,pincode,total,anomaly_score
2025-08-12,Uttar Pradesh,Pilibhit,262001,210,-0.026477778136649643
2025-08-12,Bihar,Kishanganj,855107,187,-0.0029831136724360885
2025-08-12,Punjab,Bathinda,151001,214,-0.02696847353312093
2025-09-12,Bihar,Purnia,854315,218,-0.01712480211209444
2025-09-12,Chhattisgarh,Dhamtari,493773,283,-0.046139259130229204
2025-09-12,Punjab,Bathinda,151001,183,-0.0013232186902228937
2025-09-12,Rajasthan,Jalor,343041,182,-0.008337420467336099
2025-09-12,Maharashtra,Hingoli,431513,206,-0.021368996641252802
2025-09-12,Maharashtra,Hingoli,431705,206,-0.021368996641252802
2025-09-12,Maharashtra,Nashik,422003,238,-0.03464081914851569
2025-09-12,Maharashtra,Yavatmal,445204,196,-0.004645651473076384
2025-09-12,Uttar Pradesh,Saharanpur,247554,199,-0.018937746912395026
2025-09-12,Uttar Pradesh,Sambhal,244302,213,-0.021856234336492864
2025-09-12,Uttarakhand,Dehradun,248001,203,-0.02088208849287343
2025-09-12,Chhattisgarh,Bilaspur,495551,262,-0.03265929203368356
2025-09-12,Chhattisgarh,Narayanpur,494661,219,-0.02674678551035603
2025-09-12,Delhi,North West Delhi,110085,191,-0.00060156683619772
2025-09-12,Delhi,West Delhi,110059,261,-0.03265929203368356
2025-09-12,Haryana,Faridabad,121001,188,-0.008815838193074299
2025-09-12,Haryana,Hisar,125001,188,-0.0010747488182170084
2025-09-12,Haryana,Sirsa,125055,212,-0.00894053746050738
2025-09-12,Rajasthan,Alwar,301001,178,-0.00060156683619772
2025-09-12,Uttar Pradesh,Siddharthnagar,272153,205,-0.01506481438566254
2025-09-12,Maharashtra,Solapur,413304,230,-0.027237662975120536
2025-09-12,Rajasthan,Jaipur,302012,196,-0.0017968890972230867
2025-09-12,Rajasthan,Sirohi,307026,181,-0.002200546067836484
2025-09-12,Chhattisgarh,Koriya,497449,205,-0.0020220737693564805
2025-09-12,Chhattisgarh,Raigarh,496001,206,-0.011818358546965557
2025-09-12,Delhi,North West Delhi,110042,219,-0.02527614426986502
2025-09-12,Haryana,Faridabad,121004,247,-0.03167053767421757
2025-09-12,Haryana,Rohtak,124001,221,-0.01906423059273188
2025-09-12,Uttar Pradesh,Agra,282001,192,-0.006074375259496723
2025-09-12,Uttar Pradesh,Meerut,250002,216,-0.02527614426986502
2025-09-12,Uttar Pradesh,Mirzapur,231001,184,-0.008815838193074299
2025-09-12,Madhya Pradesh,Indore,452001,259,-0.04362435487681393
2025-09-12,Bihar,Kishanganj,855107,225,-0.01906423059273188
2025-09-12,Chhattisgarh,Bastar,494001,236,-0.02920449741709208
2025-09-12,Chhattisgarh,Bastar,494442,216,-0.026256240054237656
2025-09-12,Chhattisgarh,Kondagaon,494226,247,-0.03167053767421757
2025-09-12,Uttar Pradesh,Shahjahanpur,242001,290,-0.046139259130229204
2025-09-12,Madhya Pradesh,Indore,452016,191,-0.004645651473076384
2025-09-12,Maharashtra,Hingoli,431702,195,-0.007859326323006344
2025-09-12,Maharashtra,Parbhani,431401,207,-0.009419363385024693
2025-09-12,Nagaland,Dimapur,797112,204,-0.00012870489435234944
2025-09-12,Delhi,North East Delhi,110053,210,-0.0247865934929532
2025-09-12,Gujarat,Surat,394210,185,-0.00060156683619772
2025-09-12,Haryana,Yamuna Nagar,135001,239,-0.03167053767421757
2025-09-12,Punjab,Patiala,147001,234,-0.027728872673239757
2025-09-12,Uttar Pradesh,Balrampur,271201,213,-0.006300935326768786
2025-09-12,Uttar Pradesh,Budaun,243601,201,-0.011212788213249891
2025-09-12,Uttar Pradesh,Hapur,245101,197,-0.002970681482394988
2025-09-12,Uttar Pradesh,Kushinagar,274304,196,-0.011212788213249891
2025-09-12,Uttar Pradesh,Pilibhit,262122,185,-0.003219824710417263
2025-10-12,Uttarakhand,Dehradun,248001,166,-0.0058271255705738545
2025-10-12,Maharashtra,Thane,421301,236,-0.037494594910569834
