date,state,district,pincode,total,anomaly_score
2025-01-11,Rajasthan,Jaipur,302012,144,-0.0252684097828485
2025-01-11,Andhra Pradesh,Chittoor,517501,94,-0.01742441442934306
2025-01-11,Andhra Pradesh,Kurnool,518002,83,-0.006863634027914123
2025-01-11,Assam,Nagaon,782124,112,-0.027877617564266544
2025-01-11,Bihar,East Champaran,845301,131,-0.006044309353788191
2025-01-11,Bihar,East Champaran,845418,137,-0.0069967883471278025
2025-01-11,Bihar,Gaya,824232,106,-0.0026505020026681425
2025-01-11,Bihar,Kishanganj,855107,148,-0.02143972447380349
2025-01-11,Telangana,Karimnagar,505001,97,-0.0012323742779791758
2025-01-11,Telangana,Nalgonda,508207,124,-0.028368473068360878
2025-01-11,Telangana,Suryapet,508204,127,-0.036764030011740556
2025-01-11,Telangana,Vikarabad,501144,99,-0.0013304075723655773
2025-01-11,Telangana,Vikarabad,509336,142,-0.045759327797324834
2025-01-11,Uttar Pradesh,Allahabad,212301,118,-0.006044309353788191
2025-01-11,Uttar Pradesh,Bareilly,243505,138,-0.0069967883471278025
2025-01-11,Uttar Pradesh,Chitrakoot,210205,142,-0.010340633000355814
2025-01-11,Uttar Pradesh,Hathras,204101,145,-0.01949701975680973
2025-01-11,Uttar Pradesh,Jalaun,285001,151,-0.01659280297335175
2025-01-11,Uttar Pradesh,Jalaun,285205,110,-0.0069260967688533626
2025-01-11,Uttar Pradesh,Lucknow,226003,155,-0.01659280297335175
2025-01-11,Uttar Pradesh,Moradabad,202411,127,-0.015073600384038377
2025-01-11,Uttarakhand,Nainital,263139,126,-0.036764030011740556
2025-01-11,West Bengal,Bankura,722207,150,-0.022413050222962028
2025-01-11,West Bengal,Birbhum,731224,141,-0.007473511387549925
2025-02-11,Bihar,West Champaran,845438,149,-0.027822405410321216
2025-02-11,Delhi,West Delhi,110059,167,-0.07279054545246455
2025-02-11,Haryana,Faridabad,121004,121,-0.0365215191767011
2025-02-11,Haryana,Panipat,132103,111,-0.03354833122284118
2025-02-11,Maharashtra,Thane,400612,105,-0.023236709926868993
2025-02-11,Manipur,Churachandpur,795128,134,-0.03453805309813429
2025-02-11,Manipur,Imphal West,795001,176,-0.07487767619532237
2025-02-11,Manipur,Senapati,795002,83,-0.012981542768023324
2025-02-11,Manipur,Thoubal,795138,146,-0.06295344765488287
2025-02-11,Telangana,Medchal-malkajgiri,500055,96,-0.026929305503589185
2025-02-11,Telangana,Nirmal,504103,119,-0.040504591543721324
2025-03-11,Bihar,Araria,854334,148,-0.018459228905746028
2025-03-11,Bihar,Bhagalpur,853204,134,-0.03592224802042465
2025-03-11,Bihar,East Champaran,845437,115,-0.002853698053878362
2025-03-11,Bihar,Gaya,823001,135,-0.03344577746423161
2025-03-11,Bihar,Gaya,824206,101,-0.004217231812313482
2025-01-11,West Bengal,South 24 Parganas,743376,149,-0.01659280297335175
2025-03-11,Maharashtra,Pune,411033,130,-0.03147062415099
2025-03-11,Maharashtra,Pune,411048,121,-0.03557317879274535
2025-03-11,Maharashtra,Sangli,416416,150,-0.004452440983092165
2025-03-11,Manipur,Imphal East,795114,101,-0.004217231812313482
2025-03-11,Manipur,Thoubal,795138,136,-0.0491901680294351
2025-03-11,Rajasthan,Alwar,301001,168,-0.060898544362443796
2025-03-11,Rajasthan,Udaipur,313001,116,-0.01297088290294457
2025-04-11,Bihar,East Champaran,845302,157,-0.004103423076169732
2025-04-11,Delhi,East Delhi,110092,144,-0.011667173311637802
2025-03-11,Bihar,Katihar,854104,134,-0.0006074854536192165
2025-03-11,Bihar,Lakhisarai,811311,181,-0.06863319130095347
2025-03-11,Bihar,Madhepura,852128,136,-0.010595288647168966
2025-03-11,Bihar,Nalanda,803110,121,-0.015377970999937207
2025-03-11,Bihar,Rohtas,802215,110,-0.020702315686255912
2025-03-11,Bihar,Sheohar,843329,140,-0.03990206792378914
2025-03-11,Bihar,Supaul,852131,133,-0.010595288647168966
2025-03-11,Bihar,West Champaran,845453,134,-0.012033737453045479
2025-03-11,Chhattisgarh,Bastar,494001,91,-0.0008148237121038404
2025-03-11,Chhattisgarh,Kawardha,491995,151,-0.05425838662968607
2025-03-11,Chhattisgarh,Raipur,492001,105,-0.020687367471936113
2025-03-11,Chhattisgarh,Surguja,497001,110,-0.028113632792671983
2025-03-11,Chhattisgarh,Surguja,497101,91,-0.001080840515336634
2025-03-11,Chhattisgarh,Surguja,497111,128,-0.023135602981395387
2025-03-11,Delhi,East Delhi,110096,123,-0.02508816829792815
2025-03-11,Delhi,North West Delhi,110042,142,-0.05425838662968607
2025-03-11,Delhi,South West Delhi,110045,143,-0.020762891894908098
2025-03-11,Delhi,West Delhi,110041,163,-0.04792662477413201
2025-03-11,Jharkhand,Sahebganj,816108,129,-0.0072502407698076254
2025-03-11,Madhya Pradesh,Bhopal,462001,117,-0.007141813765746408
2025-03-11,Madhya Pradesh,Burhanpur,450331,109,-0.028502787920041905
2025-03-11,Madhya Pradesh,Chhindwara,480001,128,-0.037559450073039624
2025-03-11,Uttar Pradesh,Ballia,221712,107,-0.00437247924955364
2025-03-11,Uttar Pradesh,Bareilly,262406,132,-0.02508816829792815
2025-03-11,Uttar Pradesh,Bulandshahr,203001,161,-0.06192530084904624
2025-03-11,Uttar Pradesh,Hathras,204101,158,-0.05527615175452427
2025-03-11,Uttar Pradesh,Jhansi,284204,158,-0.02039912119840981
2025-03-11,Uttar Pradesh,Kaushambi,212217,100,-0.00802497700151561
2025-03-11,Uttar Pradesh,Rampur,244921,99,-0.00898013799430053
2025-03-11,Uttar Pradesh,Shahjahanpur,242221,139,-0.03890509251919172
2025-03-11,Uttar Pradesh,Siddharthnagar,272192,128,-0.01143349205967703
2025-03-11,Uttar Pradesh,Sitapur,261201,147,-0.009794390496727812
2025-03-11,Uttar Pradesh,Sultanpur,228001,117,-0.02753631775702059
2025-03-11,Uttarakhand,Nainital,263139,144,-0.05936101236914759
2025-03-11,West Bengal,Bankura,722143,139,-0.00019186322402420242
2025-03-11,West Bengal,Jalpaiguri,735210,164,-0.0459123342716693
2025-03-11,West Bengal,Malda,732201,127,-0.020216645245066278
2025-03-11,West Bengal,Murshidabad,742302,116,-0.02216130015484663
2025-04-11,Bihar,Khagaria,848203,133,-0.016492085242029164
2025-04-11,Delhi,North East Delhi,110094,152,-0.03162277888023024
2025-04-11,Delhi,North West Delhi,110086,156,-0.04332397276581701
2025-03-11,Bihar,Banka,813106,149,-0.004452440983092165
2025-03-11,Bihar,Bhagalpur,812005,133,-0.017706765814711423
2025-03-11,Bihar,Gaya,824232,161,-0.02661713406191546
2025-03-11,Bihar,Khagaria,851204,117,-0.02753631775702059
2025-03-11,Bihar,Madhubani,847408,157,-0.026127463089061886
2025-03-11,Bihar,Sitamarhi,843317,113,-0.01297088290294457
2025-03-11,Delhi,North East Delhi,110053,156,-0.049590628848495966
2025-03-11,Delhi,North West Delhi,110034,112,-0.0014338636173575336
2025-03-11,Delhi,South West Delhi,110043,145,-0.039403411586518056
2025-03-11,Gujarat,Surat,395004,135,-0.018675036807175083
2025-03-11,Haryana,Rewari,123401,113,-0.029154796648082293
2025-03-11,Haryana,Rohtak,124001,150,-0.06552990967706251
2025-04-11,Uttar Pradesh,Ghaziabad,201001,158,-0.004103423076169732
2025-04-11,Uttar Pradesh,Jalaun,285001,154,-0.008387892072392655
2025-05-11,Bihar,East Champaran,845301,146,-0.026374041518496316
2025-05-11,Bihar,Gopalganj,841405,115,-0.0056214812403949654
2025-05-11,Bihar,Patna,804453,128,-0.019550996793436193
2025-05-11,Bihar,Purnia,854315,147,-0.02100764198892824
2025-05-11,Delhi,East Delhi,110092,146,-0.032274026251560506
2025-05-11,Delhi,North East Delhi,110053,123,-0.028262549864199626
2025-05-11,Delhi,West Delhi,110041,151,-0.037227404492512606
2025-05-11,Haryana,Faridabad,121002,117,-0.01616363403200627
2025-05-11,Haryana,Rohtak,124001,103,-0.01368252284286009
2025-04-11,Madhya Pradesh,Morena,476001,146,-0.027687651144639447
2025-05-11,Madhya Pradesh,Katni,483501,88,-0.0037702810585258373
2025-05-11,Maharashtra,Mumbai Suburban,400043,114,-0.01705810693266152
2025-05-11,Maharashtra,Osmanabad,413501,141,-0.0012621266094099415
