date,state,district,pincode,total,anomaly_score
2025-10-26,Delhi,North East Delhi,110094,31,-0.008696704404592581
2025-10-26,Uttar Pradesh,Balrampur,271604,20,-0.007382868169902523
2025-10-26,West Bengal,Uttar Dinajpur,733202,30,-0.006372893659678858
2025-10-27,Bihar,East Champaran,845303,9,-0.006228283730559503
2025-10-27,Delhi,West Delhi,110059,26,-0.042710009176712416
2025-10-27,Uttar Pradesh,Agra,282001,19,-0.02664849205136144
2025-10-27,Uttar Pradesh,Bahraich,271851,33,-0.05196666531862937
2025-10-27,Uttar Pradesh,Bahraich,271865,64,-0.11996700520538883
2025-10-27,Uttar Pradesh,Kheri,261502,30,-0.024886922037285597
2025-10-27,Uttar Pradesh,Kheri,262723,38,-0.020237826734028186
2025-10-27,Uttar Pradesh,Pratapgarh,230204,13,-0.011694959766021307
2025-10-27,West Bengal,Uttar Dinajpur,733210,38,-0.02671044405218781
2025-10-27,Madhya Pradesh,Shivpuri,473995,18,-0.016870188863318147
2025-10-27,Meghalaya,West Khasi Hills,793119,25,-0.05108181866898409
2025-10-27,Uttar Pradesh,Bahraich,271830,25,-0.034840950035703644
2025-10-27,Gujarat,Gir Somnath,362265,9,-0.002073753716396287
2025-10-27,Assam,Karbi Anglong,782441,15,-0.016870188863318147
2025-10-27,Madhya Pradesh,Morena,476444,9,-0.002073753716396287
2025-10-27,Madhya Pradesh,Shivpuri,473585,24,-0.008559369910033365
2025-10-27,Madhya Pradesh,Shivpuri,473990,28,-0.008559369910033365
2025-10-27,Meghalaya,East Jaintia Hills,793200,23,-0.03315965608557825
2025-10-27,Meghalaya,East Khasi Hills,793121,29,-0.038114051685464
2025-10-27,Uttar Pradesh,Budaun,243638,17,-0.017654552994328943
2025-10-27,Uttar Pradesh,Hardoi,241124,14,-0.0427874399506899
2025-10-27,Meghalaya,East Garo Hills,794111,18,-0.03233210836163736
2025-10-27,Meghalaya,West Garo Hills,794104,36,-0.015663583837134953
2025-10-27,Punjab,Kapurthala,144601,16,-0.004382996137120676
2025-10-27,Punjab,Ludhiana,141003,11,-0.0009701173941132346
2025-10-27,Assam,Kamrup,781380,14,-0.019244471732941526
2025-10-27,Assam,Kamrup,781381,12,-0.005301339135033389
2025-10-27,Bihar,Araria,854311,35,-0.010964149674347334
2025-10-27,Bihar,Madhubani,847409,7,-0.0007560623598447114
2025-10-27,Bihar,West Champaran,845452,16,-0.0167124302641255
2025-10-27,Uttar Pradesh,Siddharthnagar,272192,21,-0.02856185862018157
2025-10-27,Madhya Pradesh,Indore,452001,13,-0.008464728961181889
2025-10-27,Madhya Pradesh,Jhabua,457661,20,-0.03735226082936283
2025-10-27,Meghalaya,East Khasi Hills,793009,14,-0.008199463633546178
2025-10-27,Meghalaya,East Khasi Hills,793015,25,-0.03885384933593128
2025-10-27,Meghalaya,East Khasi Hills,793108,9,-0.00178560477370715
2025-10-27,Bihar,Saran,841216,21,-0.0002240559863043723
2025-10-27,Bihar,West Champaran,845306,12,-0.012583650944963942
2025-10-27,Gujarat,Gir Somnath,362720,15,-0.004382996137120676
2025-10-27,Uttar Pradesh,Bahraich,271855,99,-0.11619012731880829
2025-10-27,Uttar Pradesh,Ghaziabad,201001,22,-0.036285060436225924
2025-10-28,Meghalaya,East Khasi Hills,793110,18,-0.015587003815234146
2025-10-28,Meghalaya,South West Khasi Hills,793114,16,-0.013388355842509636
2025-10-28,Uttar Pradesh,Aligarh,202001,27,-0.010352749968992048
2025-10-28,Uttar Pradesh,Hardoi,241001,22,-0.015016245299614872
2025-10-28,Meghalaya,East Khasi Hills,793121,78,-0.045327804908885216
2025-10-28,Uttar Pradesh,Moradabad,244001,36,-0.015591986757588328
2025-10-28,Madhya Pradesh,Jhabua,457993,16,-0.01706447510629272
2025-10-28,Manipur,Churachandpur,795128,18,-0.015350362153543351
2025-10-28,Meghalaya,East Khasi Hills,793005,18,-7.719624812019266e-05
2025-10-28,Uttar Pradesh,Bahraich,271865,31,-0.052484819609487365
2025-10-28,Assam,Karbi Anglong,782441,12,-0.01726649928751467
2025-10-28,Delhi,West Delhi,110059,28,-0.0043355320934787
2025-10-28,Haryana,Panipat,132103,28,-0.03394653194350128
2025-10-28,Meghalaya,West Khasi Hills,793119,81,-0.03960771660701057
2025-10-28,Rajasthan,Bharatpur,321001,20,-0.010801733644737244
2025-10-28,Rajasthan,Sirohi,307026,17,-0.02422620063284331
2025-10-28,Uttar Pradesh,Bahraich,271855,50,-0.09326923049540814
2025-10-28,Madhya Pradesh,Morena,476224,32,-0.05618015611747207
2025-10-28,West Bengal,Uttar Dinajpur,733202,36,-0.018989279955927252
2025-10-28,West Bengal,Uttar Dinajpur,733207,32,-0.004004085025701931
2025-10-28,Madhya Pradesh,Jhabua,457661,37,-0.06755093208322205
2025-10-28,Uttar Pradesh,Agra,282001,24,-0.023341208024279747
2025-10-28,Uttar Pradesh,Etawah,206001,15,-0.004730255776146497
2025-10-28,Uttar Pradesh,Meerut,250002,28,-0.018261901208875497
2025-10-29,Uttar Pradesh,Balrampur,271208,23,-0.018039070427507853
2025-10-29,West Bengal,South 24 Parganas,743337,30,-0.001412592609413732
2025-10-29,Uttar Pradesh,Sitapur,261205,14,-0.0007525961901623246
2025-10-29,Uttar Pradesh,Meerut,250002,47,-0.03257796017855619
2025-10-29,West Bengal,Uttar Dinajpur,733207,35,-0.005286430270782683
2025-10-29,Uttar Pradesh,Bahraich,271855,46,-0.06706273399189744
2025-10-29,Uttar Pradesh,Muzaffarnagar,251001,40,-0.007421193673830873
2025-10-29,Uttar Pradesh,Rampur,244901,38,-3.901315092136315e-05
2025-10-29,Uttar Pradesh,Saharanpur,247001,38,-0.024561973031591244
2025-10-29,Delhi,West Delhi,110059,28,-0.0009521280078672589
2025-10-29,West Bengal,Uttar Dinajpur,733215,33,-0.0008224616916289174
2025-10-30,Madhya Pradesh,Barwani,451770,41,-0.014127182883293843
2025-10-30,Madhya Pradesh,Damoh,470775,45,-0.05563989550922577
2025-10-30,Madhya Pradesh,Dewas,455001,128,-0.04669702106047258
2025-10-30,Madhya Pradesh,Hoshangabad,461775,35,-0.0005569299549458284
2025-10-30,Madhya Pradesh,Indore,452010,55,-0.026244215193159004
2025-10-30,Madhya Pradesh,Jhabua,457777,51,-0.07121931219672151
2025-10-30,Madhya Pradesh,Katni,483501,92,-0.050143991733448856
2025-10-30,Madhya Pradesh,Katni,483880,20,-0.012506101151017468
2025-10-30,Madhya Pradesh,Khargone,451441,74,-0.09757173841994782
2025-10-30,Madhya Pradesh,Panna,488220,77,-0.05521648064595697
2025-10-30,Madhya Pradesh,Panna,488442,43,-0.019307889541852696
2025-10-30,Madhya Pradesh,Sagar,470002,41,-0.06313752473862233
2025-10-30,Maharashtra,Aurangabad,431001,108,-0.05609119852325095
2025-10-30,Maharashtra,Jalna,431203,44,-0.022264486940398842
2025-10-30,Maharashtra,Thane,400612,65,-0.04571516708783119
2025-10-30,Maharashtra,Thane,401107,53,-0.03403596977159218
2025-10-30,Maharashtra,Thane,421302,80,-0.07071163329807706
2025-10-30,Rajasthan,Alwar,301026,28,-0.011934505320705613
2025-10-30,Rajasthan,Bharatpur,321001,56,-0.036768692400745984
2025-10-30,Rajasthan,Bikaner,334001,54,-0.07427260943484193
2025-10-30,Gujarat,Surat,394210,26,-0.0017204453189264557
2025-10-30,Telangana,Hyderabad,500013,36,-0.03649846348347663
2025-10-30,Uttar Pradesh,Aligarh,202001,127,-0.09809759664738826
2025-10-30,Uttar Pradesh,Amethi,227809,19,-0.00048050715818215295
2025-10-30,Uttar Pradesh,Bareilly,243123,30,-0.042664464946866376
2025-10-30,Uttar Pradesh,Basti,272130,32,-0.0014496346722374653
2025-10-30,Uttar Pradesh,Basti,272163,37,-0.030694830999976275
2025-10-30,Uttar Pradesh,Bijnor,246701,58,-0.035002009076508744
2025-10-30,Uttar Pradesh,Bijnor,246725,46,-0.020253985721505274
2025-10-30,Uttar Pradesh,Bijnor,246731,42,-0.014018774161110303
