state,bio_age_5_17,bio_age_17_,total,percentage
Maharashtra,1704542,2237932,3942474,12.8
Uttar Pradesh,2373714,1366288,3740002,12.14
Tamil Nadu,1337248,1261620,2598868,8.44
Rajasthan,1085561,847200,1932761,6.28
Andhra Pradesh,973912,831967,1805879,5.86
Bihar,710368,1004615,1714983,5.57
Madhya Pradesh,813084,860736,1673820,5.44
Karnataka,754443,804990,1559433,5.06
West Bengal,591266,873056,1464322,4.75
Gujarat,598142,685924,1284066,4.17
Odisha,653042,561761,1214803,3.94
Telangana,628215,483557,1111772,3.61
Kerala,437841,651220,1089061,3.54
Chhattisgarh,462095,550595,1012690,3.29
Punjab,300749,382299,683048,2.22
Jharkhand,291220,385347,676567,2.2
Assam,363874,264457,628331,2.04
Haryana,286362,331661,618023,2.01
Uttarakhand,231414,170623,402037,1.31
Jammu and Kashmir,221075,144184,365259,1.19
Delhi,153879,171387,325266,1.06
Himachal Pradesh,144776,145664,290440,0.94
Manipur,86123,58956,145079,0.47
Tripura,51314,54536,105850,0.34
Arunachal Pradesh,32532,18154,50686,0.16
Meghalaya,24958,24302,49260,0.16
Goa,24769,23287,48056,0.16
Nagaland,18811,28815,47626,0.15
Orissa,10786,36291,47077,0.15
Mizoram,22789,12643,35432,0.12
Puducherry,18368,16017,34385,0.11
Chandigarh,10010,9658,19668,0.06
Pondicherry,3997,15581,19578,0.06
Sikkim,9462,9111,18573,0.06
Andaman and Nicobar Islands,8690,5158,13848,0.04
Dadra and Nagar Haveli,3848,4864,8712,0.03
Ladakh,2494,2780,5274,0.02
Lakshadweep,2034,2398,4432,0.01
Daman and Diu,2677,1501,4178,0.01
Daman & Diu,431,1141,1572,0.01
Andaman & Nicobar Islands,284,1008,1292,0.0
Dadra and Nagar Haveli and Daman and Diu,299,531,830,0.0
Dadra & Nagar Haveli,66,397,463,0.0
Jammu & Kashmir,89,228,317,0.0
West Bangal,13,32,45,0.0
andhra pradesh,14,15,29,0.0
WEST BENGAL,5,24,29,0.0
ODISHA,6,18,24,0.0
Westbengal,2,14,16,0.0
West bengal,5,11,16,0.0
West  Bengal,3,10,13,0.0
odisha,0,12,12,0.0
WESTBENGAL,4,7,11,0.0
Chhatisgarh,2,3,5,0.0
Uttaranchal,0,2,2,0.0
Tamilnadu,1,0,1,0.0
west Bengal,1,0,1,0.0
