state,demo_age_5_17,demo_age_17_,total,percentage
Uttar Pradesh,388665,3226348,3615013,17.62
Bihar,189690,2142411,2332101,11.37
Maharashtra,126571,2127260,2253831,10.99
West Bengal,114540,1711593,1826133,8.9
Tamil Nadu,190374,922467,1112841,5.42
Madhya Pradesh,124230,824265,948495,4.62
Andhra Pradesh,143906,767250,911156,4.44
Rajasthan,104113,769991,874104,4.26
Telangana,123135,710590,833725,4.06
Gujarat,78846,637236,716082,3.49
Karnataka,104122,602005,706127,3.44
Chhattisgarh,61720,612138,673858,3.28
Jharkhand,56366,552909,609275,2.97
Assam,45544,478172,523716,2.55
Odisha,75629,421663,497292,2.42
Kerala,38195,387670,425865,2.08
Haryana,37327,287672,324999,1.58
Punjab,18644,293073,311717,1.52
Delhi,26166,223143,249309,1.22
Uttarakhand,18671,151744,170415,0.83
Jammu and Kashmir,20944,128901,149845,0.73
Manipur,18594,95768,114362,0.56
Himachal Pradesh,11196,68399,79595,0.39
Tripura,6972,63595,70567,0.34
Meghalaya,3963,31721,35684,0.17
Arunachal Pradesh,3780,17434,21214,0.1
Goa,1926,17859,19785,0.1
Nagaland,2425,16392,18817,0.09
Chandigarh,1930,16588,18518,0.09
Orissa,1275,14148,15423,0.08
Mizoram,1913,11873,13786,0.07
Puducherry,2415,10834,13249,0.06
Sikkim,915,9575,10490,0.05
Pondicherry,432,3967,4399,0.02
Dadra and Nagar Haveli,825,2318,3143,0.02
Andaman and Nicobar Islands,323,2468,2791,0.01
Ladakh,562,1955,2517,0.01
Dadra and Nagar Haveli and Daman and Diu,184,1857,2041,0.01
Daman and Diu,141,685,826,0.0
Lakshadweep,103,527,630,0.0
Andaman & Nicobar Islands,12,526,538,0.0
Daman & Diu,27,307,334,0.0
Jammu & Kashmir,17,231,248,0.0
Dadra & Nagar Haveli,21,102,123,0.0
West Bangal,3,80,83,0.0
West  Bengal,5,51,56,0.0
Westbengal,0,48,48,0.0
andhra pradesh,3,33,36,0.0
West bengal,0,36,36,0.0
WEST BENGAL,1,29,30,0.0
WESTBENGAL,0,24,24,0.0
ODISHA,2,21,23,0.0
odisha,0,10,10,0.0
west Bengal,0,7,7,0.0
Uttaranchal,0,2,2,0.0
Chhatisgarh,0,2,2,0.0
West Bengli,0,2,2,0.0
BALANAGAR,0,1,1,0.0
100000,0,1,1,0.0
Madanapalle,0,1,1,0.0
Nagpur,0,1,1,0.0
Jaipur,0,1,1,0.0
Darbhanga,0,1,1,0.0
Raja Annamalai Puram,0,1,1,0.0
Puttenahalli,0,1,1,0.0
