state,age_0_5,age_5_17,age_18_greater,total,percentage
Uttar Pradesh,364276,327696,10075,702047,16.49
Bihar,196035,231305,5265,432605,10.16
Madhya Pradesh,305042,77922,5996,388960,9.14
West Bengal,251086,77814,7367,336267,7.9
Rajasthan,192327,93228,4183,289738,6.81
Maharashtra,225584,57535,5480,288599,6.78
Tamil Nadu,177615,35998,1165,214778,5.05
Karnataka,159961,27160,6815,193936,4.56
Gujarat,140718,39981,10659,191358,4.5
Assam,107566,51147,18943,177656,4.17
Jharkhand,88133,49156,1044,138333,3.25
Andhra Pradesh,108805,13219,1390,123414,2.9
Telangana,96573,21399,871,118843,2.79
Odisha,93516,21463,702,115681,2.72
Chhattisgarh,72043,15992,1245,89280,2.1
Haryana,69361,5503,567,75431,1.77
Kerala,52950,18360,2640,73950,1.74
Punjab,48534,7854,1997,58385,1.37
Delhi,44511,12171,1563,58245,1.37
Jammu and Kashmir,38409,7435,485,46329,1.09
Meghalaya,7716,17426,13604,38746,0.91
Uttarakhand,27710,4512,177,32399,0.76
Himachal Pradesh,16081,650,178,16909,0.4
Tripura,6999,3453,231,10683,0.25
Manipur,4475,5655,208,10338,0.24
Nagaland,2469,5259,637,8365,0.2
Mizoram,3348,1084,408,4840,0.11
Orissa,3474,580,0,4054,0.1
Arunachal Pradesh,1868,1854,117,3839,0.09
Chandigarh,2377,210,33,2620,0.06
Goa,1871,253,156,2280,0.05
Sikkim,1040,1030,105,2175,0.05
Puducherry,1565,114,44,1723,0.04
Pondicherry,1181,79,0,1260,0.03
Dadra and Nagar Haveli,664,70,4,738,0.02
Ladakh,466,133,18,617,0.01
Andaman and Nicobar Islands,363,27,0,390,0.01
Lakshadweep,188,10,1,199,0.0
Dadra and Nagar Haveli and Daman and Diu,130,20,19,169,0.0
Jammu & Kashmir,126,20,0,146,0.0
Daman and Diu,100,13,0,113,0.0
Andaman & Nicobar Islands,106,5,0,111,0.0
100000,0,1,52,53,0.0
Dadra & Nagar Haveli,22,3,0,25,0.0
Daman & Diu,20,1,0,21,0.0
West  Bengal,9,6,0,15,0.0
West Bangal,7,3,0,10,0.0
West bengal,6,1,0,7,0.0
Westbengal,3,3,0,6,0.0
andhra pradesh,5,0,0,5,0.0
WEST BENGAL,3,1,0,4,0.0
ODISHA,1,0,0,1,0.0
WESTBENGAL,1,0,0,1,0.0
