date,total,rolling_mean,rolling_std,upper_bound,lower_bound,is_spike,is_drop,is_anomaly
2025-01-03,332381,332381.0,0.0,332381.0,332381.0,False,False,False
2025-01-04,2847,167614.0,233015.72603152774,633645.4520630555,-298417.4520630555,False,False,False
2025-01-05,3567,112931.66666666667,190049.03847516127,493029.74361698923,-267166.41028365586,False,False,False
2025-01-06,1760,85138.75,164829.84019158463,414798.43038316927,-244520.93038316927,False,False,False
2025-01-07,1002,68311.4,147622.68017923262,363556.76035846525,-226933.96035846524,False,False,False
2025-01-09,309146,108450.5,164623.3539188775,437697.207837755,-220796.20783775498,False,False,False
2025-01-11,286108,133830.14285714287,164599.28446728695,463028.71179171675,-195368.42607743104,False,False,False
2025-01-12,231904,119476.28571428571,147936.55890359925,415349.40352148423,-176396.83209291278,False,False,False
2025-02-09,307814,163043.0,152694.4917921621,468431.9835843242,-142345.9835843242,False,False,False
2025-02-11,133465,181599.85714285713,137189.29247628202,455978.44209542114,-92778.7278097069,False,False,False
2025-02-12,333736,229025.0,121095.30292432205,471215.6058486441,-13165.605848644103,False,False,False
2025-03-09,256549,265531.71428571426,67599.7227230858,400731.1597318859,130332.26883954267,False,False,False
2025-03-11,327449,268146.4285714286,69883.2625522905,407912.95367600955,128379.90346684758,False,False,False
2025-03-12,302419,270476.5714285714,70847.26112527121,412171.09367911384,128782.049178029,False,False,False
2025-04-09,294704,279448.0,69103.45597725183,417654.9119545036,141241.08804549635,False,False,False
2025-04-11,334603,283275.0,71631.75312434178,426538.50624868355,140011.49375131645,False,False,False
2025-04-12,307265,308103.5714285714,27700.561425460113,363504.69427949167,252702.4485776512,False,False,False
2025-05-09,181821,286401.4285714286,52594.85405708143,391591.1366855914,181211.72045726574,False,False,False
2025-05-11,202164,278632.14285714284,61073.120542588185,400778.3839423192,156485.90177196648,False,False,False
2025-05-12,233743,265245.5714285714,58817.66154780696,382880.89452418534,147610.2483329575,False,False,False
2025-06-09,239883,256311.85714285713,56950.0092783971,370211.8756996513,142411.83858606295,False,False,False
2025-06-11,358063,265363.14285714284,68026.56266593841,401416.26818901964,129310.01752526601,False,False,False
2025-06-12,201083,246288.85714285713,63974.81234680973,374238.4818364766,118339.23244923766,False,False,False
2025-07-09,72839,212799.42857142858,84727.63210400955,382254.69277944765,43344.16436340948,False,False,False
2025-07-11,306011,230540.85714285713,89998.19984204975,410537.25682695664,50544.45745875762,False,False,False
2025-07-12,172191,226259.0,92257.94956894864,410774.8991378973,41743.10086210273,False,False,False
2025-08-09,376256,246618.0,108482.59702059742,463583.19404119486,29652.80595880517,False,False,False
2025-08-11,316272,257530.7142857143,111492.56424939178,480515.8427844979,34545.58578693072,False,False,False
2025-08-12,377014,260238.0,114529.29801292474,489296.59602584946,31179.40397415051,False,False,False
2025-09-09,353240,281974.71428571426,115862.29280445277,513699.2998946198,50250.12867680873,False,False,False
2025-09-11,105792,286682.28571428574,106216.67994044727,499115.6455951803,74248.9258333912,False,False,False
2025-09-12,220117,274411.71428571426,108547.43063858344,491506.57556288113,57316.85300854739,False,False,False
2025-10-09,335936,297803.85714285716,100167.4307188195,498138.71858049615,97468.99570521817,False,False,False
2025-10-11,315730,289157.28571428574,94731.50704088941,478620.29979606456,99694.27163250692,False,False,False
2025-10-12,230764,276941.85714285716,96154.73794606369,469251.33303498453,84632.38125072978,False,False,False
2025-11-09,304752,266618.71428571426,87070.27917859278,440759.2726428998,92478.1559285287,False,False,False
2025-11-11,243968,251008.42857142858,78306.49363847407,407621.4158483767,94395.44129448044,False,False,False
2025-11-12,307769,279862.28571428574,46721.83200144676,373305.9497171793,186418.62171139222,False,False,False
2025-12-09,339254,296881.85714285716,42871.50062076401,382624.8583843852,211138.85590132914,False,False,False
2025-12-11,297398,291376.4285714286,39350.276398254544,370076.98136793764,212675.8757749195,False,False,False
2025-12-12,342497,295200.28571428574,43221.38497207997,381643.0556584457,208757.51577012578,False,False,False
