date,state,district,pincode,total,zscore
2025-01-11,Punjab,Ludhiana,141003,93,3.394528272973553
2025-01-11,Punjab,Ludhiana,141007,102,3.7951357286655245
2025-01-11,Punjab,Patiala,147001,136,5.308541672390751
2025-01-11,Rajasthan,Ajmer,305001,102,3.7951357286655245
2025-01-11,Rajasthan,Bikaner,334001,88,3.1719685753669022
2025-01-11,Rajasthan,Jaipur,302012,144,5.664637188561393
2025-01-11,Andhra Pradesh,Chittoor,517501,94,3.4390402124948833
2025-01-11,Assam,Nagaon,782124,112,4.240255123878827
2025-01-11,Bihar,Darbhanga,846003,108,4.062207365793506
2025-01-11,Bihar,East Champaran,845301,131,5.0859819747841
2025-01-11,Bihar,East Champaran,845302,89,3.2164805148882323
2025-01-11,Bihar,East Champaran,845418,137,5.353053611912081
2025-01-11,Bihar,Gaya,824232,106,3.9731834867508455
2025-01-11,Bihar,Gopalganj,841427,97,3.572576031058874
2025-01-11,Bihar,Katihar,855102,100,3.7061118496228644
2025-01-11,Bihar,Kishanganj,855107,148,5.842684946646714
2025-01-11,Bihar,Kishanganj,855108,121,4.640862579570799
2025-01-11,Bihar,Kishanganj,855116,90,3.2609924544095623
2025-01-11,Bihar,Madhepura,852116,88,3.1719685753669022
2025-01-11,Bihar,Madhubani,847225,104,3.884159607708185
2025-01-11,Bihar,Madhubani,847408,118,4.507326761006808
2025-01-11,Bihar,Muzaffarpur,843125,99,3.661599910101534
2025-01-11,Bihar,Nalanda,803110,94,3.4390402124948833
2025-01-11,Telangana,Hyderabad,500005,89,3.2164805148882323
2025-01-11,Telangana,Hyderabad,500008,89,3.2164805148882323
2025-01-11,Telangana,Hyderabad,500059,85,3.0384327568029112
2025-01-11,Telangana,Karimnagar,505001,97,3.572576031058874
2025-01-11,Telangana,Nalgonda,508207,124,4.774398398134789
2025-01-11,Telangana,Nizamabad,503001,87,3.1274566358455718
2025-01-11,Telangana,Suryapet,508204,127,4.90793421669878
2025-01-11,Telangana,Vikarabad,501144,99,3.661599910101534
2025-01-11,Telangana,Vikarabad,509336,142,5.575613309518732
2025-01-11,Uttar Pradesh,Allahabad,212107,103,3.839647668186855
2025-01-11,Uttar Pradesh,Allahabad,212301,118,4.507326761006808
2025-01-11,Uttar Pradesh,Amroha,244221,135,5.264029732869421
2025-01-11,Uttar Pradesh,Auraiya,206122,98,3.617087970580204
2025-01-11,Uttar Pradesh,Baghpat,250611,105,3.9286715472295155
2025-01-11,Uttar Pradesh,Bahraich,271830,128,4.95244615622011
2025-01-11,Uttar Pradesh,Banda,210201,101,3.7506237891441945
2025-01-11,Uttar Pradesh,Bara Banki,225305,94,3.4390402124948833
2025-01-11,Uttar Pradesh,Bareilly,243123,100,3.7061118496228644
2025-01-11,Uttar Pradesh,Bareilly,243505,138,5.397565551433412
2025-01-11,Uttar Pradesh,Budaun,243633,122,4.685374519092129
2025-01-11,Uttar Pradesh,Bulandshahr,202393,99,3.661599910101534
2025-01-11,Uttar Pradesh,Chitrakoot,210205,142,5.575613309518732
2025-01-11,Uttar Pradesh,Chitrakoot,210209,99,3.661599910101534
2025-01-11,Uttar Pradesh,Gautam Buddha Nagar,201306,100,3.7061118496228644
2025-01-11,Uttar Pradesh,Hathras,204101,145,5.709149128082724
2025-01-11,Uttar Pradesh,Jalaun,285001,151,5.976220765210705
2025-01-11,Uttar Pradesh,Jalaun,285205,110,4.151231244836167
2025-01-11,Uttar Pradesh,Kanpur Dehat,209306,97,3.572576031058874
2025-01-11,Uttar Pradesh,Kheri,261502,85,3.0384327568029112
2025-01-11,Uttar Pradesh,Lucknow,226003,155,6.154268523296025
2025-01-11,Uttar Pradesh,Maharajganj,273162,88,3.1719685753669022
2025-01-11,Uttar Pradesh,Mirzapur,231211,111,4.195743184357497
2025-01-11,Uttar Pradesh,Moradabad,202411,127,4.90793421669878
2025-01-11,Uttar Pradesh,Saharanpur,247554,108,4.062207365793506
2025-01-11,Uttar Pradesh,Sambhal,202410,86,3.0829446963242417
2025-01-11,Uttar Pradesh,Sant Kabir Nagar,272125,116,4.418302881964148
2025-01-11,Uttar Pradesh,Shahjahanpur,242307,124,4.774398398134789
2025-01-11,Uttar Pradesh,Siddharthnagar,272192,107,4.017695426272176
2025-01-11,Uttar Pradesh,Sitapur,261141,86,3.0829446963242417
2025-01-11,Uttarakhand,Nainital,263139,126,4.863422277177449
2025-01-11,West Bengal,Bankura,722154,138,5.397565551433412
2025-01-11,West Bengal,Bankura,722207,150,5.931708825689374
2025-01-11,West Bengal,Barddhaman,713408,97,3.572576031058874
2025-01-11,West Bengal,Barddhaman,713423,88,3.1719685753669022
2025-01-11,West Bengal,Birbhum,731216,107,4.017695426272176
2025-01-11,West Bengal,Birbhum,731224,141,5.531101369997402
2025-01-11,West Bengal,Dakshin Dinajpur,733132,121,4.640862579570799
2025-02-11,Bihar,Araria,854312,92,3.350016333452223
2025-02-11,Bihar,Araria,854318,108,4.062207365793506
2025-02-11,Bihar,East Champaran,845303,87,3.1274566358455718
2025-02-11,Bihar,Kishanganj,855107,106,3.9731834867508455
