date,state,district,pincode,total,zscore
2025-10-26,Delhi,North East Delhi,110094,31,3.1855853382638624
2025-10-26,West Bengal,Uttar Dinajpur,733202,30,3.066105712928867
2025-10-27,Uttar Pradesh,Bahraich,271851,33,3.4245445889338533
2025-10-27,Uttar Pradesh,Bahraich,271865,64,7.128412974318714
2025-10-27,Uttar Pradesh,Kheri,261502,30,3.066105712928867
2025-10-27,Uttar Pradesh,Kheri,262723,38,4.021942715608831
2025-10-27,West Bengal,Uttar Dinajpur,733210,38,4.021942715608831
2025-10-27,West Bengal,Uttar Dinajpur,733202,32,3.305064963598858
2025-10-27,Meghalaya,West Garo Hills,794104,36,3.7829834649388396
2025-10-27,Bihar,Araria,854311,35,3.663503839603844
2025-10-27,Uttar Pradesh,Bahraich,271855,99,11.310199861043555
2025-10-27,Uttar Pradesh,Meerut,250002,30,3.066105712928867
2025-10-28,Uttar Pradesh,Saharanpur,247001,35,3.663503839603844
2025-10-28,Meghalaya,East Khasi Hills,793121,78,8.80112772900865
2025-10-28,Odisha,Khorda,751024,38,4.021942715608831
2025-10-28,Chhattisgarh,Balrampur,497225,30,3.066105712928867
2025-10-28,Madhya Pradesh,Sidhi,486661,35,3.663503839603844
2025-10-28,Uttar Pradesh,Moradabad,244001,36,3.7829834649388396
2025-10-28,Uttar Pradesh,Bahraich,271865,31,3.1855853382638624
2025-10-28,West Bengal,Uttar Dinajpur,733210,32,3.305064963598858
2025-10-28,Meghalaya,West Khasi Hills,793119,81,9.159566605013637
2025-10-28,Uttar Pradesh,Bahraich,271855,50,5.455698219628776
2025-10-28,Madhya Pradesh,Morena,476224,32,3.305064963598858
2025-10-28,West Bengal,Uttar Dinajpur,733202,36,3.7829834649388396
2025-10-28,West Bengal,Uttar Dinajpur,733207,32,3.305064963598858
2025-10-28,Madhya Pradesh,Jhabua,457661,37,3.9024630902738355
2025-10-28,Uttar Pradesh,Rampur,244901,31,3.1855853382638624
2025-10-29,Madhya Pradesh,Katni,483501,33,3.4245445889338533
2025-10-29,Madhya Pradesh,Umaria,484661,33,3.4245445889338533
2025-10-29,Delhi,South Delhi,110044,36,3.7829834649388396
2025-10-29,West Bengal,South 24 Parganas,743337,30,3.066105712928867
2025-10-29,Bihar,Araria,854311,36,3.7829834649388396
2025-10-29,Uttar Pradesh,Moradabad,244001,49,5.336218594293781
2025-10-29,Uttar Pradesh,Meerut,250002,47,5.09725934362379
